s11,Εισαγωγή στην Πληροφορική,1,#
s12,Αλγοριθμική και Προγραμματισμός,1,#
s13,Ψηφιακά Συστήματα,1,#
s14,Μαθηματική Ανάλυση και Γραμμική Άλγεβρα,1,#
s15,Δεξιότητες Επικοινωνίας/Κοινωνικά Δίκτυα,1,#
s21,Αντικειμενοστρεφής Προγραμματισμός,2,s12
s22,Εισαγωγή στα Λειτουργικά Συστήματα,2,s11
s23,Διακριτά Μαθηματικά,2,s14
s24,Γλώσσες και Τεχνολογίες Ιστού,2,#
s25,Πληροφοριακά Συστήματα Ι,2,#
s31,Αριθ. Ανάλυση και Προγρ/μός Επιστ. Εφαρμογών,3,#
s32,Δομές Δεδομένων και Ανάλυση Αλγορίθμων,3,s21
s33,Οργάνωση και Αρχιτεκτονική Υπολ. Συστημάτων,3,#
s34,Αλληλεπίδραση Ανθρώπου-Μηχανής και Ανάπτυξη Διεπιφανεών Χρήστη,3,s21
s35,Συστήματα Διαχείρισης Βάσεων Δεδομένων,3,#
s41,Τεχνητή Νοημοσύνη: Γλώσσες και Τεχνικές,4,#
s42,Τηλεπικοινωνίες και Δίκτυα Υπολογιστών,4,#
s43,Μεθοδολογίες Προγραμματισμού,4,#
s44,Τεχνολογία Βάσεων Δεδομένων,4,s35
s45,Θεωρία Πιθανοτήτων και Στατιστική,4,s23
s51,Αρχές Σχεδίασης Λειτουργικών Συστημάτων,5,#
s52,Μηχανική Λογισμικού Ι,5,s21
s53,Δίκτυα Η/Υ,5,s42
s54,Ανάπτυξη Διαδικτυακών Συστ. και Εφαρμογών,5,s24
s55,Επιχειρησιακή Έρευνα,5,#
s61,Πληροφοριακά Συστήματα ΙΙ,6,s25
s62,Μηχανική Λογισμικού ΙΙ,6,s52
s63,Οργάνωση Δεδομένων και Εξόρυξη Πληροφορίας,6,#
s64,Διοίκηση και Διαχείριση Έργων Πληροφορικής,6,#
s71,Ανάπτυξη και Διαχείριση Ολοκληρωμένων Πληροφ. Συστημάτων και Εφαρμογών,7,#
s72,Τεχνολογία Πολυμέσων,7,#
s73,Σημασιολογικός Ιστός,7,#
s36,pastore,3,s11